,calle,num,localidad,prov,cp,par,letra,bestmatch_difflib,bestmatch_fuzzywuzzy,cpa
658,arenales,1006.0,Acassuso,Provincia de Buenos Aires,1641,True,B,,,"['B1641ACA' 'B1641ACB' 'B1641ACC' 'B1641ACD' 'B1641ACE' 'B1641ACF'
 'B1641ACG' 'B1641ACH' 'B1641ACI' 'B1641ACJ' 'B1641ACK' 'B1641ACL'
 'B1641ACM' 'B1641ACN' 'B1641BEQ' 'B1641BER' 'B1641BES' 'B1641BET'
 'B1641BPA' 'B1641BPB' 'B1641BPC' 'B1641BPD' 'B1641BPE' 'B1641BPF'
 'B1641BPG' 'B1641BPH' 'B1641BPI' 'B1641BPJ' 'B1641BPK' 'B1641BPL'
 'B1641BPM' 'B1641BPN' 'B1641BPO' 'B1641BPP' 'B1641BPQ' 'B1641BPR'
 'B1641ADA' 'B1641ADB' 'B1641ADC' 'B1641ADD' 'B1641ADE' 'B1641ADF'
 'B1641AMA' 'B1641AMB' 'B1641BIA' 'B1641BIB' 'B1641BJA' 'B1641BJB'
 'B1641BJC' 'B1641BJD' 'B1641BJE' 'B1641BJF' 'B1641CPD' 'B1641CPF'
 'B1641CPH' 'B1641CPJ' 'B1641CPL' 'B1641BAA' 'B1641BAB' 'B1641BAC'
 'B1641BAD' 'B1641BAE' 'B1641BAF' 'B1641BAG' 'B1641BAH' 'B1641BAI'
 'B1641BAJ' 'B1641BAK' 'B1641BAL' 'B1641BAM' 'B1641BAN' 'B1641CMA'
 'B1641CMB' 'B1641CMC' 'B1641CMD' 'B1641CME' 'B1641CMF' 'B1641CMG'
 'B1641CMH' 'B1641CMI' 'B1641CMJ' 'B1641CSA' 'B1641CSB' 'B1641CSC'
 'B1641CSD' 'B1641CSE' 'B1641CSF' 'B1641CSG' 'B1641CSH' 'B1641CSI'
 'B1641CSJ' 'B1641CSK' 'B1641CSL' 'B1641CSM' 'B1641CSN' 'B1641CSO'
 'B1641CSP' 'B1641CQA' 'B1641CQC' 'B1641CQE' 'B1641CQG' 'B1641CQI'
 'B1641CQK' 'B1641CQM' 'B1641CQO' 'B1641CJB' 'B1641CJD' 'B1641CJF'
 'B1641CJH' 'B1641CJJ' 'B1641CJL' 'B1641CJN' 'B1641CJP' 'B1641ANA'
 'B1641ANN' 'B1641ANC' 'B1641ANP' 'B1641AND' 'B1641ANQ' 'B1641ANE'
 'B1641ANR' 'B1641ANF' 'B1641ANS' 'B1641ANG' 'B1641ANT' 'B1641ANH'
 'B1641ANU' 'B1641ANI' 'B1641ANV' 'B1641CBA' 'B1641CBB' 'B1641CIA'
 'B1641CIB' 'B1641CIC' 'B1641CID' 'B1641CIE' 'B1641CIF' 'B1641CIG'
 'B1641CIH' 'B1641CII' 'B1641CIJ' 'B1641AJA' 'B1641AJB' 'B1641AJC'
 'B1641AJD' 'B1641AJE' 'B1641AJF' 'B1641AJG' 'B1641AJH' 'B1641AJI'
 'B1641AJJ' 'B1641AJK' 'B1641AJL' 'B1641BEO' 'B1641BEP' 'B1641AWA'
 'B1641AWB' 'B1641AWC' 'B1641AWD' 'B1641BKA' 'B1641BKB' 'B1641BKC'
 'B1641BKD' 'B1641BKE' 'B1641BKF' 'B1641BEK' 'B1641BEL' 'B1641AFA'
 'B1641AFB' 'B1641AFC' 'B1641AFD' 'B1641AFE' 'B1641AFF' 'B1641AFG'
 'B1641AFH' 'B1641AFI' 'B1641AFJ' 'B1641AFK' 'B1641AFL' 'B1641AFM'
 'B1641AFN' 'B1641AFO' 'B1641AFP' 'B1641CTA' 'B1641CTB' 'B1641CTC'
 'B1641CTD' 'B1641CTE' 'B1641CTF' 'B1641CTG' 'B1641CTH' 'B1641CTI'
 'B1641CTJ' 'B1641CTK' 'B1641CTL' 'B1641CTM' 'B1641CTN' 'B1641CTO'
 'B1641CTP' 'B1641CUA' 'B1641CUB' 'B1641CUC' 'B1641CUD' 'B1641CUE'
 'B1641CUF' 'B1641CUG' 'B1641CUH' 'B1641CUI' 'B1641CUJ' 'B1641CUK'
 'B1641CUL' 'B1641CUM' 'B1641CUN' 'B1641CUO' 'B1641CUP' 'B1641AQA'
 'B1641AQB' 'B1641AQC' 'B1641AQD' 'B1641AQE' 'B1641AQF' 'B1641AQG'
 'B1641AQH' 'B1641AQI' 'B1641AQJ' 'B1641APA' 'B1641APB' 'B1641APC'
 'B1641APD' 'B1641APE' 'B1641APF' 'B1641APG' 'B1641APH' 'B1641API'
 'B1641APJ' 'B1641CDA' 'B1641CDB' 'B1641CDC' 'B1641CDD' 'B1641CDE'
 'B1641CDF' 'B1641CEA' 'B1641CEB' 'B1641CEC' 'B1641CED' 'B1641CEE'
 'B1641CEF' 'B1641CEG' 'B1641CEH' 'B1641CEI' 'B1641CEJ' 'B1641CEK'
 'B1641CEL' 'B1641CEM' 'B1641CEN' 'B1641CEO' 'B1641CEP' 'B1641CEQ'
 'B1641CER' 'B1641CES' 'B1641CET' 'B1641CEU' 'B1641CEV' 'B1641CEW'
 'B1641CEX' 'B1641CEY' 'B1641CEZ' 'B1641BZA' 'B1641BZB' 'B1641BZC'
 'B1641BZD' 'B1641CAA' 'B1641CAB' 'B1641CAC' 'B1641CAD' 'B1641CAE'
 'B1641CAF' 'B1641CAI' 'B1641CAJ' 'B1641CAM' 'B1641CAN' 'B1641CAO'
 'B1641CAP' 'B1641CAQ' 'B1641CAR' 'B1641CAS' 'B1641CAT' 'B1641CAU'
 'B1641CAV' 'B1641CAW' 'B1641CAX' 'B1641CAY' 'B1641CAZ' 'B1641CGB'
 'B1641CGD' 'B1641CGF' 'B1641CHB' 'B1641CHD' 'B1641CHF' 'B1641CHH'
 'B1641CHJ' 'B1641CHL' 'B1641CHN' 'B1641CHP' 'B1641CHR' 'B1641CHT'
 'B1641CHV' 'B1641CHX' 'B1641CHZ' 'B1641AGA' 'B1641AGB' 'B1641AGC'
 'B1641AGD' 'B1641AGE' 'B1641AGF' 'B1641AGG' 'B1641AGH' 'B1641AGI'
 'B1641AGJ' 'B1641AGK' 'B1641AGL' 'B1641BGA' 'B1641BGB' 'B1641BHA'
 'B1641BHB' 'B1641BHC' 'B1641BHD' 'B1641BHE' 'B1641BHF' 'B1641BHG'
 'B1641BHH' 'B1641BDA' 'B1641BDC' 'B1641BVA' 'B1641BVB' 'B1641BVC'
 'B1641BVD' 'B1641BWA' 'B1641BWB' 'B1641BWC' 'B1641BWD' 'B1641BWE'
 'B1641BWF' 'B1641BWG' 'B1641BWH' 'B1641BWI' 'B1641BWJ' 'B1641BWK'
 'B1641BWL' 'B1641CLA' 'B1641CLB' 'B1641CLC' 'B1641CLD' 'B1641CLE'
 'B1641CLF' 'B1641CLG' 'B1641CLH' 'B1641CLI' 'B1641CLJ' 'B1641CWA'
 'B1641CWB' 'B1641ASA' 'B1641ASB' 'B1641ASC' 'B1641ASD' 'B1641ASE'
 'B1641ASF' 'B1641ASG' 'B1641ASH' 'B1641ASI' 'B1641ASJ' 'B1641ASK'
 'B1641ASL' 'B1641ASM' 'B1641ASN' 'B1641ASO' 'B1641ASP' 'B1641ASQ'
 'B1641ASR' 'B1641BLA' 'B1641BLB' 'B1641BLC' 'B1641BLD' 'B1641BLE'
 'B1641BLF' 'B1641BLG' 'B1641BLH' 'B1641BLI' 'B1641BLJ' 'B1641AHA'
 'B1641AHB' 'B1641AHC' 'B1641AHD' 'B1641AHE' 'B1641AHF' 'B1641AHG'
 'B1641AHH' 'B1641AHI' 'B1641AHJ' 'B1641AHK' 'B1641AHL' 'B1641AHM'
 'B1641AHN' 'B1641ARA' 'B1641ARN' 'B1641ARB' 'B1641ARO' 'B1641ARC'
 'B1641ARP' 'B1641ARD' 'B1641ARQ' 'B1641ARE' 'B1641ARR' 'B1641ARF'
 'B1641ARS' 'B1641ARG' 'B1641ART' 'B1641ARH' 'B1641ARU' 'B1641AXA'
 'B1641AXB' 'B1641AXC' 'B1641AXD' 'B1641AXE' 'B1641AXF' 'B1641AXG'
 'B1641AXH' 'B1641AXI' 'B1641AXJ' 'B1641AXK' 'B1641AXL' 'B1641AXM'
 'B1641AXN' 'B1641AXO' 'B1641AXP' 'B1641AXQ' 'B1641AXR' 'B1641CCA'
 'B1641CCB' 'B1641CCC' 'B1641CCD' 'B1641CCE' 'B1641CCF' 'B1641BCA'
 'B1641BCC' 'B1641BCE' 'B1641AKC' 'B1641AKD' 'B1641AKE' 'B1641AKF'
 'B1641AKG' 'B1641AKH' 'B1641ALA' 'B1641ALB' 'B1641ALC' 'B1641ALD'
 'B1641ALE' 'B1641ALF' 'B1641ALG' 'B1641ALH' 'B1641ALI' 'B1641ALJ'
 'B1641ALK' 'B1641ALL' 'B1641ALM' 'B1641ALN' 'B1641ALO' 'B1641ALP'
 'B1641ALQ' 'B1641ALR' 'B1641ALS' 'B1641ALT' 'B1641ALU' 'B1641ALV'
 'B1641ALW' 'B1641ALX' 'B1641ALY' 'B1641ALZ' 'B1641CRA' 'B1641CRB'
 'B1641CRC' 'B1641CRD' 'B1641CRE' 'B1641CRF' 'B1641CRG' 'B1641CRH'
 'B1641CRI' 'B1641CRJ' 'B1641CRK' 'B1641CRL' 'B1641CRM' 'B1641CRN'
 'B1641CRO' 'B1641CRP' 'B1641ATA' 'B1641ATB' 'B1641ATC' 'B1641ATD'
 'B1641ATE' 'B1641ATF' 'B1641ATG' 'B1641ATH' 'B1641ATI' 'B1641ATJ'
 'B1641ATK' 'B1641ATL' 'B1641ATM' 'B1641ATN' 'B1641ATO' 'B1641ATP'
 'B1641BQA' 'B1641BQB' 'B1641BQC' 'B1641BQD' 'B1641AUA' 'B1641AUB'
 'B1641AUC' 'B1641AUD' 'B1641AUE' 'B1641AUF' 'B1641AUG' 'B1641AUH'
 'B1641AEA' 'B1641AEB' 'B1641AEC' 'B1641AED' 'B1641AEE' 'B1641AEF'
 'B1641AEG' 'B1641AEH' 'B1641AEI' 'B1641AEJ' 'B1641AEK' 'B1641AEL'
 'B1641AEM' 'B1641AEN' 'B1641AEO' 'B1641AEP' 'B1641AEQ' 'B1641AER'
 'B1641BOA' 'B1641BOB' 'B1641BOC' 'B1641BOD' 'B1641BOE' 'B1641BOF'
 'B1641BOG' 'B1641BOH' 'B1641BOI' 'B1641BOJ' 'B1641BOK' 'B1641BOL'
 'B1641BOM' 'B1641BON' 'B1641BOO' 'B1641BOP' 'B1641BOQ' 'B1641BOR'
 'B1641BOS' 'B1641BOT' 'B1641BOU' 'B1641BOV' 'B1641BOW' 'B1641BOX'
 'B1641BYA' 'B1641BYB' 'B1641BYC' 'B1641BYD' 'B1641BYE' 'B1641BYF'
 'B1641BYG' 'B1641BYH' 'B1641BYI' 'B1641BYJ' 'B1641BYK' 'B1641BYL'
 'B1641BYM' 'B1641BYN' 'B1641COA' 'B1641COB' 'B1641COC' 'B1641COD'
 'B1641COE' 'B1641COF' 'B1641COI' 'B1641COJ' 'B1641COK' 'B1641COL'
 'B1641BEC' 'B1641BED' 'B1641BEE' 'B1641BEF' 'B1641BSA' 'B1641BSB'
 'B1641BSC' 'B1641BSD' 'B1641BSE' 'B1641BSF' 'B1641BSG' 'B1641BSH'
 'B1641BSI' 'B1641BSJ' 'B1641BSK' 'B1641BSL' 'B1641BEA' 'B1641BEB'
 'B1641BFA' 'B1641BFB' 'B1641BFC' 'B1641BFD' 'B1641BFE' 'B1641BFF'
 'B1641BFG' 'B1641BFH' 'B1641BFI' 'B1641BFJ' 'B1641BFK' 'B1641BFL'
 'B1641BFM' 'B1641BFN' 'B1641BTA' 'B1641BTB' 'B1641BTC' 'B1641BTD'
 'B1641BUA' 'B1641BUB' 'B1641BUC' 'B1641BUD' 'B1641BUE' 'B1641BUF'
 'B1641BUG' 'B1641BUH' 'B1641BUI' 'B1641BUJ' 'B1641BUK' 'B1641BUL'
 'B1641BUM' 'B1641BUN' 'B1641BUO' 'B1641BUP' 'B1641BUQ' 'B1641BUR'
 'B1641BUS' 'B1641BUT' 'B1641BUU' 'B1641BUV' 'B1641BUW' 'B1641BUX'
 'B1641BUY' 'B1641BUZ' 'B1641CXA' 'B1641CXB' 'B1641BEM' 'B1641BEN'
 'B1641AVA' 'B1641AVB' 'B1641AVC' 'B1641AVD' 'B1641AVE' 'B1641AVF'
 'B1641CFA' 'B1641CFB' 'B1641CFC' 'B1641CFD' 'B1641BEG' 'B1641BEH'
 'B1641BEI' 'B1641BEJ' 'B1641BRA' 'B1641BRB' 'B1641BRC' 'B1641BRD'
 'B1641BRE' 'B1641BRF' 'B1641BRG' 'B1641BRH' 'B1641BRI' 'B1641BRJ'
 'B1641BRK' 'B1641BRL' 'B1641BRM' 'B1641BRN' 'B1641AIA' 'B1641AIB'
 'B1641AIC' 'B1641AID' 'B1641AIE' 'B1641AIF' 'B1641AIG' 'B1641AIH'
 'B1641AII' 'B1641AIJ' 'B1641AIK' 'B1641AIL' 'B1641BNA' 'B1641BNB'
 'B1641CVA' 'B1641CVB' 'B1641CVC' 'B1641CVD' 'B1641CVE' 'B1641CVF'
 'B1641CVG' 'B1641CVH' 'B1641CVI' 'B1641CVJ' 'B1641AAN' 'B1641AAO'
 'B1641AAP' 'B1641AAQ' 'B1641ABA' 'B1641ABN' 'B1641ABB' 'B1641ABO'
 'B1641ABC' 'B1641ABP' 'B1641ABD' 'B1641ABQ' 'B1641ABE' 'B1641ABR'
 'B1641AYA' 'B1641AYB' 'B1641AYC' 'B1641AYD' 'B1641AYE' 'B1641AYF'
 'B1641AYG' 'B1641AYH' 'B1641AYI' 'B1641AYJ' 'B1641AYK' 'B1641AYL'
 'B1641AYM' 'B1641AYN' 'B1641AYO' 'B1641AYP' 'B1641AYQ' 'B1641AYR'
 'B1641CNA' 'B1641CNB' 'B1641CNC' 'B1641CND' 'B1641CNE' 'B1641CNF'
 'B1641CNG' 'B1641CNH' 'B1641CNI' 'B1641CNJ' 'B1641BXA' 'B1641BXB'
 'B1641BXC' 'B1641BXD' 'B1641BXE' 'B1641BXF' 'B1641CKA' 'B1641CKB'
 'B1641CKC' 'B1641CKD' 'B1641CKE' 'B1641CKF' 'B1641CKG' 'B1641CKH'
 'B1641CKI' 'B1641CKJ' 'B1641BBA' 'B1641BBB' 'B1641BMA' 'B1641BMC'
 'B1641BME' 'B1641BMG' 'B1641BMI' 'B1641BMK' 'B1641BMM' 'B1641BMO'
 'B1641BMQ' 'B1641BMS' 'B1641AZA' 'B1641AZB' 'B1641AZC' 'B1641AZD']"
659,cornelio saavedra,459.0,Lomas de Zamora,Provincia de Buenos Aires,1832,False,B,calle gral cornelio saavedra,calle gral cornelio saavedra,['B1832DJI']
660,edelmiro oviedo,,Villa de las rosas,Córdoba,5885,False,X,calle edelmiro oviedo de villa,calle edelmiro oviedo de villa,"['X5885XAB' 'X5885XAO' 'X5885XAN' 'X5885XAC' 'X5885XAQ' 'X5885XAA'
 'X5885XAE' 'X5885XAT' 'X5885XAG' 'X5885XAH' 'X5885XAI' 'X5885XAJ'
 'X5885XAS' 'X5885XAK' 'X5885XAL' 'X5885XAM' 'X5884JUA' 'X5884JVA'
 'X5884JUA' 'X5884JVA' 'X5885AAA' 'X5885AIA' 'X5885AJA' 'X5885AKA'
 'X5885ALA' 'X5885AMA' 'X5885BJA' 'X5885BCA' 'X5885ADA' 'X5885BEA'
 'X5885AEA' 'X5885BFA' 'X5885ACA' 'X5885ARA' 'X5885BHA' 'X5885AOA'
 'X5885APA' 'X5885AQA' 'X5885ASA' 'X5885ATA' 'X5885AUA' 'X5885AVA'
 'X5885AWA' 'X5885AXA' 'X5885AYA' 'X5885AZA' 'X5885BAA' 'X5885BDA'
 'X5885BLA' 'X5885BBA' 'X5885ANA' 'X5885AGA' 'X5885BGA' 'X5885BIA'
 'X5885AFA' 'X5885BKA' 'X5885ABA' 'X5885AHA']"
661,alem,1356.0,Trelew,Chubut,9100,True,U,calle 7,,['U9100XAD' 'U9100XAA' 'U9100XAB' ... 'U9102GDP' 'U9102GDQ' 'U9102GDR']
662,b hilario cuadros m d c,17.0,Guaymallén,Mendoza,5521,False,M,,,['M5521XAA']
663,raul scalabrini ortiz,608.0,Comuna 15,Buenos Aires,1414,True,C,avenida scalabrini ortiz,avenida scalabrini ortiz,['C1414DNT']
664,publica,,Córdoba,Córdoba,5014,False,X,,,['X5014MFA' 'X5014MFB' 'X5014MFC' ... 'X5014IMF' 'X5014IMG' 'X5014IMH']
665,sebastian gaboto,,Santiago del Estero,Santiago del Estero,4200,False,G,calle sebastian abalos sur,calle sebastian abalos sur,['G4200XAD' 'G4200XAB' 'G4200XAG' ... 'G4200NRN' 'G4200NRO' 'G4200NRP']
666,calle 528 bis,,San Carlos,Provincia de Buenos Aires,1900,False,B,calle 528 bis,calle 528 bis,['B1910JXA' 'B1910JXB' 'B1902CGA' ... 'B1906HUG' 'B1906HUE' 'B1906HUC']
667,calle 96,4545.0,Colonia Caroya,Córdoba,5223,False,X,calle 29,calle 16,['X5223XAA' 'X5223XAB' 'X5223BHA' ... 'X5223BFF' 'X5223BFG' 'X5223BFH']
668,pico,2055.0,Comuna 13,Buenos Aires,1429,False,C,calle pico,,['C1429BIA' 'C1429BIB' 'C1429BIC' ... 'C1429AWN' 'C1429AWO' 'C1429AWP']
669,san lorenzo,2406.0,Comodoro Rivadavia,Chubut,9000,True,U,calle san lorenzo,calle san lorenzo,['U9000XAB' 'U9000XAC' 'U9000XAD' ... 'U9010BGH' 'U9010BGI' 'U9010BGJ']
670,25 de mayo,874.0,General Roca,Córdoba,2592,True,X,boulevard 25 de mayo,boulevard 25 de mayo,['X2592AAV']
671,lavalle,184.0,Salta,Salta,4400,True,A,calle f,calle a,['A4400XAG' 'A4400XAR' 'A4400XAA' ... 'A4402DBF' 'A4402DBG' 'A4402DBH']
672,vuelta de obligado,2661.0,Río Grande,Tierra del Fuego,9420,False,V,calle vuelta de obligado,calle vuelta de obligado,['Z9420XAA' 'V9420XAA' 'V9420XAB' ... 'V9412AWB' 'V9412AWC' 'V9412AWD']
673,bernardo de irigoyen,1091.0,San Rafael,Mendoza,5600,False,M,calle dr bernardo de irigoyen,calle dr bernardo de irigoyen,['M5600APU']
674,amparo castro,3436.0,Olavarría,Provincia de Buenos Aires,7400,True,B,calle amparo castro,calle amparo castro,['B7400DZL']
675,quilmes,751.0,General Villegas,Provincia de Buenos Aires,6230,False,B,calle bat de quilmes,,['B6230XAA' 'B6230XAE' 'B6230XAC' ... 'B6230FOT' 'B6230FOU' 'B6230FOV']
676,jose leon pagano,2744.0,Comuna 14,Buenos Aires,1425,True,C,calle jose leon pagano,calle jose leon pagano,['C1425AOD']
677,malinar 261 zarzoso,,San Pedro de jujuy ,Jujuy,4500,False,Y,calle marinero f zarzoso,calle marinero f zarzoso,['Y4500XAL' 'Y4500XAD' 'Y4500XAE' ... 'Y4500ADB' 'Y4500ADC' 'Y4500ADD']
678,baradero,2362.0,Ingeniero Budge,Provincia de Buenos Aires,1821,True,B,,,['B1821GEA' 'B1821GEB' 'B1821GEC' ... 'B1821CKD' 'B1821CKE' 'B1821CKF']
679,11 de julio,1092.0,Río Grande,Tierra del Fuego,9420,True,V,calle 11 de julio,calle 11 de julio,['V9420BJH']
